message;severity;node;stamp;topics;location
"rtabmap (45): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0142s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"62.636000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (44): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0201s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"61.642000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (43): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0201s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"60.628000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (42): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0166s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"59.567000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (41): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0217s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"58.511000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (40): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0156s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"57.482000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (39): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0181s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"56.417000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (38): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0158s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"55.417000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (37): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0221s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"54.406000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (36): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0206s, Maps update=0.0003s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"53.344000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (35): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0176s, Maps update=0.0003s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"52.272000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (34): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0183s, Maps update=0.0008s pub=0.0007s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"51.230000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (33): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0161s, Maps update=0.0006s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"50.213000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (32): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0130s, Maps update=0.0002s pub=0.0001s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"49.123000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (31): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0143s, Maps update=0.0002s pub=0.0020s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"48.135000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (30): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0132s, Maps update=0.0004s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"47.116000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (29): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0162s, Maps update=0.0003s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"46.114000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (28): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0161s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"45.039000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (27): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0141s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"43.986000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (26): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0157s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"42.902000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (25): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0159s, Maps update=0.0001s pub=0.0004s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"41.868000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (24): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0137s, Maps update=0.0033s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"40.838000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (23): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0186s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"39.808000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
"rtabmap (22): Rate=1.00s, Limit=0.000s, RTAB-Map=0.0158s, Maps update=0.0002s pub=0.0002s (local map=1, WM=1)";"2";"/rtabmap/rtabmap";"38.805000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/grid_prob_map,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/localization_pose,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.6/src/CoreWrapper.cpp:CoreWrapper::process:1709"
